	event_id	event_date	year	month	disorder_type	event_type	sub_event_type	actor1	assoc_actor_1	inter1	actor2	assoc_actor_2	inter2	interaction	civilian_targeting	admin2	location	latitude	longitude	source	source_scale	label	class	notes22	notes	fatalities	timestamp	population_1km	population_2km	population_5km	population_best	crowd_size_class	crowd_size_cat	crowd_size	crowd_size_w_n	with_vehicles	?	split	notes11
1	DEU20172	2024-02-16	2024	2	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6			0	60		Berlin	Berlin - Mitte	52.5177	13.4024	Merkur	National		environment	 climate  participated in a protest in front of the Ministry of Economy in    () against the use of fossil fuels and the commissioning of the LNG terminal in Mukran. The protesters demanded an immediate halt to the construction of LNG infrastructure in Germany due to fears of possible damage to the environment and tourism.	On 16 February 2024, about 100 climate activists participated in a protest in front of the Ministry of Economy in Berlin - Mitte (Berlin) against the use of fossil fuels and the commissioning of the LNG terminal in Mukran. The protesters demanded an immediate halt to the construction of LNG infrastructure in Germany due to fears of possible damage to the environment and tourism.	0	1708472102	23736	43046	138680	23736	3		100.0	100.0				about 100 climate activists participated in a protest in front of the Ministry of Economy in Berlin - Mitte (Berlin) against the use of fossil fuels and the commissioning of the LNG terminal in Mukran. The protesters demanded an immediate halt to the construction of LNG infrastructure in Germany due to fears of possible damage to the environment and tourism.
2	DEU20173	2024-02-16	2024	2	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6			0	60		Berlin	Berlin - Mitte	52.5177	13.4024	Berliner Zeitung	National		internationalPolitics	in the evening, ,  participated in a protest in front of the Russian embassy in    () to commemorate Alexei Navalny and demand a Russia without Putin. According to the protesters the Russian government and Vladimir Putin are responsible for Navalny's death. Earlier in the afternoon,   gathered in the same location under the motto 'Free Navalny  Putin is a killer'.	On 16 February 2024, in the evening, about 1,000 people participated in a protest in front of the Russian embassy in Berlin - Mitte (Berlin) to commemorate Alexei Navalny and demand a Russia without Putin. According to the protesters the Russian government and Vladimir Putin are responsible for Navalny's death. Earlier in the afternoon, about 20 people gathered in the same location under the motto 'Free Navalny - Putin is a killer'.	0	1708472102	23736	43046	138680	23736	6		1020.0	1020.0				in the evening, about 1,000 people participated in a protest in front of the Russian embassy in Berlin - Mitte (Berlin) to commemorate Alexei Navalny and demand a Russia without Putin. According to the protesters the Russian government and Vladimir Putin are responsible for Navalny's death. Earlier in the afternoon, about 20 people gathered in the same location under the motto 'Free Navalny - Putin is a killer'.
3	DEU20104	2024-02-15	2024	2	Demonstrations	Protests	Protest with intervention	Protesters (Germany)	Last Generation (Germany)	6	Police Forces of Germany (2021-)		1	16		Berlin	Berlin - Mitte	52.5177	13.4024	Der Tagesspiegel	Subnational		environment	 Last Generation   in the Federal Ministry of Transport in    () against the politics of Minister of Transport Volker Wissing (FDP) and covered a wall with twelve posters. The protesters were temporarily arrested by the police.	On 15 February 2024, 3 Last Generation activists protested in the Federal Ministry of Transport in Berlin - Mitte (Berlin) against the politics of Minister of Transport Volker Wissing (FDP) and covered a wall with twelve posters. The protesters were temporarily arrested by the police.	0	1708472102	23736	43046	138680	23736	1		3.0	3.0				3 Last Generation activists protested in the Federal Ministry of Transport in Berlin - Mitte (Berlin) against the politics of Minister of Transport Volker Wissing (FDP) and covered a wall with twelve posters. The protesters were temporarily arrested by the police.
4	DEU20126	2024-02-15	2024	2	Demonstrations	Protests	Peaceful protest	Protesters (Germany)	Labor Group (Germany)	6			0	60		Berlin	Berlin - Mitte	52.5177	13.4024	Berliner Morgenpost	Subnational	against_right_wing	nationalPolitics	actors and directors  in    () during the opening of the ale to set a sign for democracy, diversity, and peaceful coexistence and against rightwing extremism. The context of the protest was a debate the invitation and disinvitation of AfD politicians to the opening gala.	On 15 February 2024, actors and directors protested in Berlin - Mitte (Berlin) during the opening of the Berlinale to set a sign for democracy, diversity, and peaceful coexistence and against right-wing extremism. The context of the protest was a debate about the invitation and disinvitation of several AfD politicians to the opening gala.	0	1708472102	23736	43046	138680	23736	0		200.0					actors and directors protested in Berlin - Mitte (Berlin) during the opening of the Berlinale to set a sign for democracy, diversity, and peaceful coexistence and against right-wing extremism. The context of the protest was a debate about the invitation and disinvitation of several AfD politicians to the opening gala.
5	DEU20100	2024-02-14	2024	2	Demonstrations	Protests	Protest with intervention	Protesters (Germany)		6	Police Forces of Germany (2021-)		1	16		Berlin	Berlin - Friedrichshain-Kreuzberg	52.501	13.4403	Berliner Morgenpost; Berliner Zeitung	Subnational-National			in the evening,  proPalestine demonstrators participated in a sitin in   FriedrichshainKreuzberg () in front of the Springer House where a conference German and Israeli politicians on the Middle East conflict and growing antiSemitism took place. The demonstrators gathered under the motto 'Free Palestine'. The police ordered the demonstration to be moved to another nearby location to keep escape routes clear, carried some demonstrators away and provisionally arrested  . In the early evening,   participated in a flashmob under the motto 'Free Palestine' whereby proPalestinian and antipolice slogans where shouted, causing the arrest of another  demonstrators. During the demonstration  police forces were injured.	On 14 February 2024, in the evening, about 230 pro-Palestine demonstrators participated in a sit-in in Berlin - Friedrichshain-Kreuzberg (Berlin) in front of the Springer House where a conference between German and Israeli politicians on the Middle East conflict and growing anti-Semitism took place. The demonstrators gathered under the motto 'Free Palestine'. The police ordered the demonstration to be moved to another nearby location to keep escape routes clear, carried some demonstrators away and provisionally arrested 12 participants. In the early evening, about 50 people participated in a flashmob under the motto 'Free Palestine' whereby pro-Palestinian and anti-police slogans where shouted, causing the arrest of another 10 demonstrators. During the demonstration 3 police forces were injured.	0	1708472102	11620	45734	127378	11620	4		280.0	280.0				in the evening, about 230 pro-Palestine demonstrators participated in a sit-in in Berlin - Friedrichshain-Kreuzberg (Berlin) in front of the Springer House where a conference between German and Israeli politicians on the Middle East conflict and growing anti-Semitism took place. The demonstrators gathered under the motto 'Free Palestine'. The police ordered the demonstration to be moved to another nearby location to keep escape routes clear, carried some demonstrators away and provisionally arrested 12 participants. In the early evening, about 50 people participated in a flashmob under the motto 'Free Palestine' whereby pro-Palestinian and anti-police slogans where shouted, causing the arrest of another 10 demonstrators. During the demonstration 3 police forces were injured.
6	DEU20170	2024-02-14	2024	2	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6			0	60		Berlin	Berlin - Friedrichshain-Kreuzberg	52.501	13.4403	Berliner Morgenpost	Subnational			in the afternoon,  participated in a small protest in front of the Springer House in   FriedrichshainKreuzberg () under the motto 'Stop the financing of the genocide' referring to the situation in Gaza.	On 14 February 2024, in the afternoon, people participated in a small protest in front of the Springer House in Berlin - Friedrichshain-Kreuzberg (Berlin) under the motto 'Stop the financing of the genocide' referring to the situation in Gaza.	0	1708472102	11620	45734	127378	11620	0		200.0					in the afternoon, people participated in a small protest in front of the Springer House in Berlin - Friedrichshain-Kreuzberg (Berlin) under the motto 'Stop the financing of the genocide' referring to the situation in Gaza.
7	DEU20171	2024-02-14	2024	2	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6			0	60		Berlin	Berlin - Mitte	52.5177	13.4024	Berliner Morgenpost	Subnational			at the call of the initiative '% Tempelhofer Feld',   participated in a protest in front of the House of Representatives in    () against a recent resolution to build more refugee accommodation and the Senat's attempt to exclude part of Tempelhofer Feld from construction protection.	On 14 February 2024, at the call of the initiative '100% Tempelhofer Feld', about 20 people participated in a protest in front of the House of Representatives in Berlin - Mitte (Berlin) against a recent resolution to build more refugee accommodation and the Senat's attempt to exclude part of Tempelhofer Feld from construction protection.	0	1708472102	23736	43046	138680	23736	1		20.0	20.0				at the call of the initiative '100% Tempelhofer Feld', about 20 people participated in a protest in front of the House of Representatives in Berlin - Mitte (Berlin) against a recent resolution to build more refugee accommodation and the Senat's attempt to exclude part of Tempelhofer Feld from construction protection.
8	DEU20176	2024-02-14	2024	2	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6			0	60		Berlin	Berlin - Neukolln	52.481	13.4354	Berliner Morgenpost; Berliner Zeitung	Subnational-National			  participated in a protest in    () under the motto 'Solidarity with Palestine'.	On 14 February 2024, about 100 people participated in a protest in Berlin - Neukolln (Berlin) under the motto 'Solidarity with Palestine'.	0	1708472102	13698	46672	192613	13698	3		100.0	100.0				about 100 people participated in a protest in Berlin - Neukolln (Berlin) under the motto 'Solidarity with Palestine'.
9	DEU20110	2024-02-12	2024	2	Demonstrations	Riots	Violent demonstration	Rioters (Germany)		5	Police Forces of Germany (2021-)		1	15		Berlin	Berlin - Neukolln	52.481	13.4354	Berliner Zeitung; Suddeutsche Zeitung	National			  staged a proPalestinian demonstration in    (). Individuals attacked police officers by throwing stones, pyrotechnics, and bottles, leading to arrests and an ongoing investigation.	On 12 February 2024, 250 people staged a pro-Palestinian demonstration in Berlin - Neukolln (Berlin). Individuals attacked police officers by throwing stones, pyrotechnics, and bottles, leading to several arrests and an ongoing investigation.	0	1708472102	13698	46672	192613	46672	4		250.0	250.0				250 people staged a pro-Palestinian demonstration in Berlin - Neukolln (Berlin). Individuals attacked police officers by throwing stones, pyrotechnics, and bottles, leading to several arrests and an ongoing investigation.
10	DEU20160	2024-02-10	2024	2	Demonstrations	Protests	Peaceful protest	Protesters (Germany)	Grannies Against the Right (Germany); Women (Germany)	6			0	60		Berlin	Berlin - Tempelhof-Schoneberg	52.4406	13.3738	Berliner Morgenpost	Subnational	against_right_wing		 , including Grannies Against the Right, staged a protest on Wittenberg Square in   TempelhofSchoneberg (), advocating against the AfD's election campaign, opposing the party's policies regarding issues such as EU withdrawal. The protest was prompted by concerns a secret meeting AfD representatives and extremists, discussing mass deportations of individuals with German citizenship and migrant backgrounds, leading to a heightened awareness and mobilization against rightwing ideologies in various cities.	On 10 February 2024, around 50 people, including Grannies Against the Right, staged a protest on Wittenberg Square in Berlin - Tempelhof-Schoneberg (Berlin), advocating against the AfD's election campaign, opposing the party's policies regarding issues such as EU withdrawal. The protest was prompted by concerns over a secret meeting between AfD representatives and extremists, discussing mass deportations of individuals with German citizenship and migrant backgrounds, leading to a heightened awareness and mobilization against right-wing ideologies in various cities.	0	1708472102	6225	56478	257092	6225	2		50.0	50.0				around 50 people, including Grannies Against the Right, staged a protest on Wittenberg Square in Berlin - Tempelhof-Schoneberg (Berlin), advocating against the AfD's election campaign, opposing the party's policies regarding issues such as EU withdrawal. The protest was prompted by concerns over a secret meeting between AfD representatives and extremists, discussing mass deportations of individuals with German citizenship and migrant backgrounds, leading to a heightened awareness and mobilization against right-wing ideologies in various cities.
