note,description,predicted label,score
1,About 100 climate activists participated in a protest in front of the ministry of economy in berlin - mitte (berlin) against the use of fossil fuels and the commissioning of the lng terminal in mukran. the protesters demanded an immediate halt to the construction of lng infrastructure in germany due to fears of possible damage to the environment and tourism.,Climate Change,0.9590014815330505
2,"In the evening, about 1,000 people participated in a protest in front of the russian embassy in berlin - mitte (berlin) to commemorate alexei navalny and demand a russia without putin. according to the protesters the russian government and vladimir putin are responsible for navalny's death. earlier in the afternoon, about 20 people gathered in the same location under the motto 'free navalny - putin is a killer'.",Conflict,0.881848931312561
3,3 last generation activists protested in the federal ministry of transport in berlin - mitte (berlin) against the politics of minister of transport volker wissing (fdp) and covered a wall with twelve posters. the protesters were temporarily arrested by the police.,Transportation,0.986210823059082
4,"Actors and directors protested in berlin - mitte (berlin) during the opening of the berlinale to set a sign for democracy, diversity, and peaceful coexistence and against right-wing extremism. the context of the protest was a debate about the invitation and disinvitation of several afd politicians to the opening gala.",Peace,0.6927649974822998
5,"In the evening, about 230 pro-palestine demonstrators participated in a sit-in in berlin - friedrichshain-kreuzberg (berlin) in front of the springer house where a conference between german and israeli politicians on the middle east conflict and growing anti-semitism took place. the demonstrators gathered under the motto 'free palestine'. the police ordered the demonstration to be moved to another nearby location to keep escape routes clear, carried some demonstrators away and provisionally arrested 12 participants. in the early evening, about 50 people participated in a flashmob under the motto 'free palestine' whereby pro-palestinian and anti-police slogans where shouted, causing the arrest of another 10 demonstrators. during the demonstration 3 police forces were injured.",Conflict,0.7365579605102539
6,"In the afternoon, people participated in a small protest in front of the springer house in berlin - friedrichshain-kreuzberg (berlin) under the motto 'stop the financing of the genocide' referring to the situation in gaza.",Conflict,0.23693889379501343
7,"At the call of the initiative '100% tempelhofer feld', about 20 people participated in a protest in front of the house of representatives in berlin - mitte (berlin) against a recent resolution to build more refugee accommodation and the senat's attempt to exclude part of tempelhofer feld from construction protection.",Conflict,0.9437745213508606
8,About 100 people participated in a protest in berlin - neukolln (berlin) under the motto 'solidarity with palestine'.,Solidarity,0.9446982145309448
9,"250 people staged a pro-palestinian demonstration in berlin - neukolln (berlin). individuals attacked police officers by throwing stones, pyrotechnics, and bottles, leading to several arrests and an ongoing investigation.",Conflict,0.8897137641906738
10,"Around 50 people, including grannies against the right, staged a protest on wittenberg square in berlin - tempelhof-schoneberg (berlin), advocating against the afd's election campaign, opposing the party's policies regarding issues such as eu withdrawal. the protest was prompted by concerns over a secret meeting between afd representatives and extremists, discussing mass deportations of individuals with german citizenship and migrant backgrounds, leading to a heightened awareness and mobilization against right-wing ideologies in various cities.",Conflict,0.8820201754570007
