event_date;year;month;day;mood;district;source;category;label;title;description;crowd_size_class;crowd_size
2024-02-16 00:00:00;2024;February;16;Peaceful;Mitte;Merkur;Environment;Climate Change;Ministry of Economy / Climate Activists;About 100 climate activists participated in a protest in front of the ministry of economy in berlin - mitte (berlin) against the use of fossil fuels and the commissioning of the lng terminal in mukran. the protesters demanded an immediate halt to the construction of lng infrastructure in germany due to fears of possible damage to the environment and tourism.;3;100-250
2024-02-16 00:00:00;2024;February;16;Peaceful;Mitte;Berliner Zeitung;War / Peace;International;Free Navalny - Putin is a killer / Solidarity with Ukraine;In the evening, about 1,000 people participated in a protest in front of the russian embassy in berlin - mitte (berlin) to commemorate alexei navalny and demand a russia without putin. according to the protesters the russian government and vladimir putin are responsible for navalny's death. earlier in the afternoon, about 20 people gathered in the same location under the motto 'free navalny - putin is a killer'.;6;1,000-2,500
2024-02-15 00:00:00;2024;February;15;with Intervention;Mitte;Der Tagesspiegel;Environment;Transportatiton;Ministry of Transport / Last Generation;3 last generation activists protested in the federal ministry of transport in berlin - mitte (berlin) against the politics of minister of transport volker wissing (fdp) and covered a wall with twelve posters. the protesters were temporarily arrested by the police.;1;0-50
2024-02-15 00:00:00;2024;February;15;Peaceful;Mitte;Berliner Morgenpost;Human Rights;Against Racism;A Sign for Democracy, Diversity, Peaceful Coexistence & against Right Wing Extremism / Berlinale;Actors and directors protested in berlin - mitte (berlin) during the opening of the berlinale to set a sign for democracy, diversity, and peaceful coexistence and against right-wing extremism. the context of the protest was a debate about the invitation and disinvitation of several afd politicians to the opening gala.;3;100-250
2024-02-14 00:00:00;2024;February;14;with Intervention;Friedrichshain-Kreuzberg;"Berliner Morgenpost; Berliner Zeitung";War / Peace;International;Free Palastine / Solidarity with Palastine;In the evening, about 230 pro-palestine demonstrators participated in a sit-in in berlin - friedrichshain-kreuzberg (berlin) in front of the springer house where a conference between german and israeli politicians on the middle east conflict and growing anti-semitism took place. the demonstrators gathered under the motto 'free palestine'. the police ordered the demonstration to be moved to another nearby location to keep escape routes clear, carried some demonstrators away and provisionally arrested 12 participants. in the early evening, about 50 people participated in a flashmob under the motto 'free palestine' whereby pro-palestinian and anti-police slogans where shouted, causing the arrest of another 10 demonstrators. during the demonstration 3 police forces were injured.;4;250-500
2024-02-14 00:00:00;2024;February;14;Peaceful;Friedrichshain-Kreuzberg;Berliner Morgenpost;War / Peace;Against War;Stop the Financing of the Genocide / Solidarity with Palastine;In the afternoon, people participated in a small protest in front of the springer house in berlin - friedrichshain-kreuzberg (berlin) under the motto 'stop the financing of the genocide' referring to the situation in gaza.;3;100-250
2024-02-14 00:00:00;2024;February;14;Peaceful;Mitte;Berliner Morgenpost;Local;Housing;100% Tempelhofer Feld / against housing for refugees ??;At the call of the initiative '100% tempelhofer feld', about 20 people participated in a protest in front of the house of representatives in berlin - mitte (berlin) against a recent resolution to build more refugee accommodation and the senat's attempt to exclude part of tempelhofer feld from construction protection.;1;0-50
2024-02-14 00:00:00;2024;February;14;Peaceful;Neukolln;"Berliner Morgenpost; Berliner Zeitung";War / Peace;Solidarity;Solidarity with Palastine;About 100 people participated in a protest in berlin - neukolln (berlin) under the motto 'solidarity with palestine'.;3;100-250
2024-02-12 00:00:00;2024;February;12;Violent;Neukolln;"Berliner Zeitung; Suddeutsche Zeitung";War / Peace;International;Solidarity with Palastine;250 people staged a pro-palestinian demonstration in berlin - neukolln (berlin). individuals attacked police officers by throwing stones, pyrotechnics, and bottles, leading to several arrests and an ongoing investigation.;4;250-500
2024-02-10 00:00:00;2024;February;10;Peaceful;Tempelhof-Schoneberg;Berliner Morgenpost;Human Rights;Against Racism;Grannies against Right / against AFD;Around 50 people, including grannies against the right, staged a protest on wittenberg square in berlin - tempelhof-schoneberg (berlin), advocating against the afd's election campaign, opposing the party's policies regarding issues such as eu withdrawal. the protest was prompted by concerns over a secret meeting between afd representatives and extremists, discussing mass deportations of individuals with german citizenship and migrant backgrounds, leading to a heightened awareness and mobilization against right-wing ideologies in various cities.;2;50-100
