event_date;year;month;day;weekday;mood;district;source;category;class;title;predicted label;score;score;grund truth;description;notes;crowd_size_class;crowd_size;with_vehicles
2024-02-16 00:00:00;2024;2;16;Fri;Peaceful protest;Berlin - Mitte;Merkur;Environment;Anthropocene;Ministry of Economy / Climate Activists;Climate;;;;about 100 climate activists participated in a protest in front of the Ministry of Economy in Berlin - Mitte (Berlin) against the use of fossil fuels and the commissioning of the LNG terminal in Mukran. The protesters demanded an immediate halt to the construction of LNG infrastructure in Germany due to fears of possible damage to the environment and tourism.;On 16 February 2024, about 100 climate activists participated in a protest in front of the Ministry of Economy in Berlin - Mitte (Berlin) against the use of fossil fuels and the commissioning of the LNG terminal in Mukran. The protesters demanded an immediate halt to the construction of LNG infrastructure in Germany due to fears of possible damage to the environment and tourism.;3;100;
2024-02-16 00:00:00;2024;2;16;Fri;Peaceful protest;Berlin - Mitte;Berliner Zeitung;War / Peace;International;Free Navalny - Putin is a killer / Solidarity with Ukraine ;Conflict;;;;in the evening, about 1,000 people participated in a protest in front of the Russian embassy in Berlin - Mitte (Berlin) to commemorate Alexei Navalny and demand a Russia without Putin. According to the protesters the Russian government and Vladimir Putin are responsible for Navalny's death. Earlier in the afternoon, about 20 people gathered in the same location under the motto 'Free Navalny - Putin is a killer'.;On 16 February 2024, in the evening, about 1,000 people participated in a protest in front of the Russian embassy in Berlin - Mitte (Berlin) to commemorate Alexei Navalny and demand a Russia without Putin. According to the protesters the Russian government and Vladimir Putin are responsible for Navalny's death. Earlier in the afternoon, about 20 people gathered in the same location under the motto 'Free Navalny - Putin is a killer'.;6;1.020;
2024-02-15 00:00:00;2024;2;15;Thu;Protest with intervention;Berlin - Mitte;Der Tagesspiegel;Environment;Anthropocene;Ministry of Transport / Last Generation ;Transport;;;;3 Last Generation activists protested in the Federal Ministry of Transport in Berlin - Mitte (Berlin) against the politics of Minister of Transport Volker Wissing (FDP) and covered a wall with twelve posters. The protesters were temporarily arrested by the police.;On 15 February 2024, 3 Last Generation activists protested in the Federal Ministry of Transport in Berlin - Mitte (Berlin) against the politics of Minister of Transport Volker Wissing (FDP) and covered a wall with twelve posters. The protesters were temporarily arrested by the police.;1;3;
2024-02-15 00:00:00;2024;2;15;Thu;Peaceful protest;Berlin - Mitte;Berliner Morgenpost;Human Rights;Against Racism;during the opening of the Berlinale to set a sign for democracy, diversity, and peaceful coexistence and against right-wing extremism;Far-right;;;;actors and directors protested in Berlin - Mitte (Berlin) during the opening of the Berlinale to set a sign for democracy, diversity, and peaceful coexistence and against right-wing extremism. The context of the protest was a debate about the invitation and disinvitation of several AfD politicians to the opening gala.;On 15 February 2024, actors and directors protested in Berlin - Mitte (Berlin) during the opening of the Berlinale to set a sign for democracy, diversity, and peaceful coexistence and against right-wing extremism. The context of the protest was a debate about the invitation and disinvitation of several AfD politicians to the opening gala.;3;200;
2024-02-14 00:00:00;2024;2;14;Wed;Protest with intervention;Berlin - Friedrichshain-Kreuzberg;"Berliner Morgenpost; Berliner Zeitung";War / Peace;International;Free Palastine / Solidarity with Palastine;Conflict;;;;in the evening, about 230 pro-Palestine demonstrators participated in a sit-in in Berlin - Friedrichshain-Kreuzberg (Berlin) in front of the Springer House where a conference between German and Israeli politicians on the Middle East conflict and growing anti-Semitism took place. The demonstrators gathered under the motto 'Free Palestine'. The police ordered the demonstration to be moved to another nearby location to keep escape routes clear, carried some demonstrators away and provisionally arrested 12 participants. In the early evening, about 50 people participated in a flashmob under the motto 'Free Palestine' whereby pro-Palestinian and anti-police slogans where shouted, causing the arrest of another 10 demonstrators. During the demonstration 3 police forces were injured.;On 14 February 2024, in the evening, about 230 pro-Palestine demonstrators participated in a sit-in in Berlin - Friedrichshain-Kreuzberg (Berlin) in front of the Springer House where a conference between German and Israeli politicians on the Middle East conflict and growing anti-Semitism took place. The demonstrators gathered under the motto 'Free Palestine'. The police ordered the demonstration to be moved to another nearby location to keep escape routes clear, carried some demonstrators away and provisionally arrested 12 participants. In the early evening, about 50 people participated in a flashmob under the motto 'Free Palestine' whereby pro-Palestinian and anti-police slogans where shouted, causing the arrest of another 10 demonstrators. During the demonstration 3 police forces were injured.;4;280;
2024-02-14 00:00:00;2024;2;14;Wed;Peaceful protest;Berlin - Friedrichshain-Kreuzberg;Berliner Morgenpost;War / Peace;International;Stop the Financing of the Genocide / Solidarity with Palastine;Conflict;;;;in the afternoon, people participated in a small protest in front of the Springer House in Berlin - Friedrichshain-Kreuzberg (Berlin) under the motto 'Stop the financing of the genocide' referring to the situation in Gaza.;On 14 February 2024, in the afternoon, people participated in a small protest in front of the Springer House in Berlin - Friedrichshain-Kreuzberg (Berlin) under the motto 'Stop the financing of the genocide' referring to the situation in Gaza.;3;200;
2024-02-14 00:00:00;2024;2;14;Wed;Peaceful protest;Berlin - Mitte;Berliner Morgenpost;Local;Housing;100% Tempelhofer Feld / against housing for refugees ??;Conflict;;;;at the call of the initiative '100% Tempelhofer Feld', about 20 people participated in a protest in front of the House of Representatives in Berlin - Mitte (Berlin) against a recent resolution to build more refugee accommodation and the Senat's attempt to exclude part of Tempelhofer Feld from construction protection.;On 14 February 2024, at the call of the initiative '100% Tempelhofer Feld', about 20 people participated in a protest in front of the House of Representatives in Berlin - Mitte (Berlin) against a recent resolution to build more refugee accommodation and the Senat's attempt to exclude part of Tempelhofer Feld from construction protection.;1;20;
2024-02-14 00:00:00;2024;2;14;Wed;Peaceful protest;Berlin - Neukolln;"Berliner Morgenpost; Berliner Zeitung";War / Peace;International; Solidarity with Palastine;Solidarity;;;;about 100 people participated in a protest in Berlin - Neukolln (Berlin) under the motto 'Solidarity with Palestine'.;On 14 February 2024, about 100 people participated in a protest in Berlin - Neukolln (Berlin) under the motto 'Solidarity with Palestine'.;3;100;
2024-02-12 00:00:00;2024;2;12;Mon;Violent demonstration;Berlin - Neukolln;"Berliner Zeitung; Suddeutsche Zeitung";War / Peace;International; Solidarity with Palastine;Conflict;;;;250 people staged a pro-Palestinian demonstration in Berlin - Neukolln (Berlin). Individuals attacked police officers by throwing stones, pyrotechnics, and bottles, leading to several arrests and an ongoing investigation.;On 12 February 2024, 250 people staged a pro-Palestinian demonstration in Berlin - Neukolln (Berlin). Individuals attacked police officers by throwing stones, pyrotechnics, and bottles, leading to several arrests and an ongoing investigation.;4;250;
2024-02-10 00:00:00;2024;2;10;Sat;Peaceful protest;Berlin - Tempelhof-Schoneberg;Berliner Morgenpost;Human Rights;Against Racism;Grannies against Right / against AFD;Conflict;;;;around 50 people, including Grannies Against the Right, staged a protest on Wittenberg Square in Berlin - Tempelhof-Schoneberg (Berlin), advocating against the AfD's election campaign, opposing the party's policies regarding issues such as EU withdrawal. The protest was prompted by concerns over a secret meeting between AfD representatives and extremists, discussing mass deportations of individuals with German citizenship and migrant backgrounds, leading to a heightened awareness and mobilization against right-wing ideologies in various cities.;On 10 February 2024, around 50 people, including Grannies Against the Right, staged a protest on Wittenberg Square in Berlin - Tempelhof-Schoneberg (Berlin), advocating against the AfD's election campaign, opposing the party's policies regarding issues such as EU withdrawal. The protest was prompted by concerns over a secret meeting between AfD representatives and extremists, discussing mass deportations of individuals with German citizenship and migrant backgrounds, leading to a heightened awareness and mobilization against right-wing ideologies in various cities.;2;50;
2024-02-10 00:00:00;2024;2;10;Sat;Peaceful protest;Berlin - Mitte;"Berliner Zeitung; Merkur";Human Rights;International;against Iranian Goverment;Conflict;;;;more than 600 people staged a protest in front of Brandenburg Gate in Berlin - Mitte (Berlin), advocating against the Iranian government, commemorating the 45th anniversary of the revolution, and advocating for a focused policy against the Mullahs.;On 10 February 2024, more than 600 people staged a protest in front of Brandenburg Gate in Berlin - Mitte (Berlin), advocating against the Iranian government, commemorating the 45th anniversary of the revolution, and advocating for a focused policy against the Mullahs.;5;600;
2024-02-10 00:00:00;2024;2;10;Sat;Peaceful protest;Berlin - Mitte;"Berliner Morgenpost; Jungle World";War / Peace;International;Stop War World Wide / Solidarity with Palastine;Conflict;;;;around 2,500 people staged a protest with pro-Palestinian banners and under the motto 'Stop war worldwide' in Berlin - Mitte (Berlin), primarily focused on advocating for peace in various regions, including the Middle East. An anti-Israeli protest group disrupted a performance at the Berlin Museum 'Hamburger Bahnhof', where an artist was reading Hannah Arendt's work for 100 consecutive hours.;On 10 February 2024, around 2,500 people staged a protest with pro-Palestinian banners and under the motto 'Stop war worldwide' in Berlin - Mitte (Berlin), primarily focused on advocating for peace in various regions, including the Middle East. An anti-Israeli protest group disrupted a performance at the Berlin Museum 'Hamburger Bahnhof', where an artist was reading Hannah Arendt's work for 100 consecutive hours.;7;2.500;
2024-02-08 00:00:00;2024;2;8;Thu;Peaceful protest;Berlin - Steglitz-Zehlendorf;"Donau Kurier; Judische Allgemeine; Suddeutsche Zeitung";War / Peace;International; Solidarity with Palastine;Solidarity;;;;around 85 people staged a protest in front of the Free University in Berlin - Steglitz-Zehlendorf (Berlin), in solidarity with Palestine, expressing support for the Palestinian cause amid ongoing tensions in the region and criticizing the perceived one-sided support for Israel from university administrations and the suppression of criticism against the Israeli government.;On 8 February 2024, around 85 people staged a protest in front of the Free University in Berlin - Steglitz-Zehlendorf (Berlin), in solidarity with Palestine, expressing support for the Palestinian cause amid ongoing tensions in the region and criticizing the perceived one-sided support for Israel from university administrations and the suppression of criticism against the Israeli government.;2;85;
2024-02-08 00:00:00;2024;2;8;Thu;Peaceful protest;Berlin - Steglitz-Zehlendorf;"Donau Kurier; Judische Allgemeine; Suddeutsche Zeitung";War / Peace;Against Racism;against Anti-Semitism;Conflict;;;;Around 20 people participated in a counter-protest in front of the Free University in Berlin - Steglitz-Zehlendorf (Berlin), motivated by a recent assault of a Jewish student and concerns about rising anti-Semitic sentiments, aiming to show solidarity with Jewish students and to condemn anti-Semitic violence.;Around 20 people participated in a counter-protest in front of the Free University in Berlin - Steglitz-Zehlendorf (Berlin), motivated by a recent assault of a Jewish student and concerns about rising anti-Semitic sentiments, aiming to show solidarity with Jewish students and to condemn anti-Semitic violence.;1;20;
2024-02-03 00:00:00;2024;2;3;Sat;Peaceful protest;Berlin - Mitte;Kieler Nachrichten;Human Rights;Against Racism;Hand in Hand / against AFD;Far-right;;;;around 150,000 or 300,000 people (according to the organizers), including labor unionists, church groups, sports groups, left organizations and pro-Palestine supporters, participated in a protest and a symbolic human chain around the Bundestag in Berlin - Mitte (Berlin) called for by the alliance 'Hand in Hand', consisting of more than 100 civil society organizations, sport clubs, social associations and refugee workers, against far-right extremism. The protest was organized following reports about a secret meeting between AfD members and far-right activists in Potsdam in November 2023, during which remigration plans were discussed.;On 3 February 2024, around 150,000 or 300,000 people (according to the organizers), including labor unionists, church groups, sports groups, left organizations and pro-Palestine supporters, participated in a protest and a symbolic human chain around the Bundestag in Berlin - Mitte (Berlin) called for by the alliance 'Hand in Hand', consisting of more than 100 civil society organizations, sport clubs, social associations and refugee workers, against far-right extremism. The protest was organized following reports about a secret meeting between AfD members and far-right activists in Potsdam in November 2023, during which remigration plans were discussed.;11;225.000;
2024-02-02 00:00:00;2024;2;2;Fri;Peaceful protest;Berlin - Mitte;Die Tageszeitung;Human Rights;LGBTQ+;with a sauna and asweat-in defense of the rights of ttransgender people / Self-Determination Act;LGBTQ+;;;;around 30 activists protested in front of the Bundestag in Berlin - Mitte (Berlin) with a sauna and a Sweat-In in defense of the rights of transgender people. The protest took place amid the drafting of the Self-Determination Act, which was set to allow Sauna operators to deny transgender women access to women's saunas at the time of reporting.;On 2 February 2024, around 30 activists protested in front of the Bundestag in Berlin - Mitte (Berlin) with a sauna and a Sweat-In in defense of the rights of transgender people. The protest took place amid the drafting of the Self-Determination Act, which was set to allow Sauna operators to deny transgender women access to women's saunas at the time of reporting.;1;30;
2024-01-27 00:00:00;2024;1;27;Sat;Violent demonstration;Berlin - Mitte;Berliner Zeitung;War / Peace;International; Solidarity with Palastine;Solidarity;;;;around 2,500 people took part in a demonstration near Neptunbrunnen in Berlin - Mitte (Berlin) in solidarity with Palestine.;On 27 January 2024, around 2,500 people took part in a demonstration near Neptunbrunnen in Berlin - Mitte (Berlin) in solidarity with Palestine.;7;2.500;
2024-01-26 00:00:00;2024;1;26;Fri;Peaceful protest;Berlin - Mitte;Berliner Zeitung;Environment;Agriculture; Farmers / Goverment ;Agriculture;;;;around 300 farmers staged a protest with their tractors in front of the party headquarter Berlin - Mitte (Berlin), advocating against the policies of the German federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.;On 26 January 2024, around 300 farmers staged a protest with their tractors in front of the party headquarter Berlin - Mitte (Berlin), advocating against the policies of the German federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.;4;300;tractors
