region,city,date,organizer,topic,participants_registered,participants_actual
Baden-Württemberg,Karlsruhe,2022-01-03,,Montagsdemo gegen Hartz IV und Sozialabbau,50.0,
Baden-Württemberg,Karlsruhe,2022-01-04,,"Stille Mahnwache für Frieden, Demokratie und Menschenrechte",8.0,
Baden-Württemberg,Karlsruhe,2022-01-08,,Bürgerbewegung Karlsruhe steht auf. Karlsruhe geht spazieren! Gegen Zwang jeglicher Art!,750.0,
Baden-Württemberg,Karlsruhe,2022-01-13,,Catcalls of Karlsruhe kreiden an,2.0,
Baden-Württemberg,Karlsruhe,2022-01-14,,Eilversammlung Fridays for Future zu EU Taxonomie ,50.0,
Baden-Württemberg,Karlsruhe,2022-01-14,, Ende aller Pandemiemaßnahmen,200.0,
Baden-Württemberg,Karlsruhe,2022-01-15,,"Lichterkette für Corona-Schutzmaßnahmen ""Weiße"" setzten Zeichen - Mitarbeitende im Gesundheitswesen rütteln auf!",600.0,
Baden-Württemberg,Karlsruhe,2022-01-17,,Reptilien gegen Schwurbel,5.0,
Baden-Württemberg,Karlsruhe,2022-01-17,,Karlsruhe - Hand in Hand gegen Verschwörungstheorien und Rechte Hetze,300.0,
Baden-Württemberg,Karlsruhe,2022-01-18,,Kurze Filmaufnahme zur Tarifrunde Öffentliche Banken,10.0,
Baden-Württemberg,Karlsruhe,2022-01-21,,Catcalls of Karlsruhe kreiden an,2.0,
Baden-Württemberg,Karlsruhe,2022-01-22,,Corona bleibt. Die Freiheit auch?,400.0,
Baden-Württemberg,Karlsruhe,2022-01-22,,Infostand für Rechtsstaat und Grundrechte,,
Baden-Württemberg,Karlsruhe,2022-01-23,,Bewegungsmeditation für den inneren und äußeren frieden und gegen die Erstarrung der Herzen,80.0,
Baden-Württemberg,Karlsruhe,2022-01-24,,Die Polizei ist nicht unser Gegner,500.0,
Baden-Württemberg,Karlsruhe,2022-01-24,,Hand in Hand gegen Verschwörungstheorien und rechte Ideologie - Mitdenken statt Querdenken,500.0,
Baden-Württemberg,Karlsruhe,2022-01-27,,"Maskenfreie Feststellung: Das demokratische Prinzip der Gewaltenteilung von Legislative, Exekutive und Judikative funktioniert in Deutschland nicht mehr. Leidtragende der derzeitigen Politik sind Kinder und Jugendliche!""",47.0,
Baden-Württemberg,Karlsruhe,2022-01-28,,Ende aller Pandemiemaßnahmen ,300.0,
Baden-Württemberg,Karlsruhe,2022-01-29,,#StopRefugeesFreezing an der polnisch-belarussischen Grenze,25.0,
Baden-Württemberg,Karlsruhe,2022-01-30,,Catcalls of Karlsruhe kreiden an,2.0,
Baden-Württemberg,Karlsruhe,2022-01-30,,Jahrestag der Machtübertragung an den Nationalsozialismus,50.0,
Baden-Württemberg,Karlsruhe,2022-01-31,,Solidarität mit den Beschäftigten (Pflegebereich),100.0,
Baden-Württemberg,Karlsruhe,2022-01-31,,Die Polizei ist nicht unser Gegner,500.0,
Baden-Württemberg,Karlsruhe,2022-02-01,,"Stille Mahnwache für Frieden, Demokratie und Menschenrechte",8.0,
Baden-Württemberg,Karlsruhe,2022-02-03,,"Maskenfreie Feststellung: Es kann nicht sein, dass die jüngsten und schwächsten der Gesellschaft auf so erschreckende Weise unter den Maßnahmen zu leiden haben.",47.0,
Baden-Württemberg,Karlsruhe,2022-02-03,,"Friede, Freiheit, Souveränität ",60.0,
Baden-Württemberg,Karlsruhe,2022-02-04,,Schweigeminuten anlässlich des Gedenkens der verstorbenenen Polizeikollegen aus Rheinland-Pfalz,40.0,
Baden-Württemberg,Karlsruhe,2022-02-04,,Protest gegen Olympische Winterspiele im Land der Lager (China),60.0,
