County,City,Date,Topic ,Guessed Participants,Actual Participants 
Berlin,Berlin,2022-01-01,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",30,
Berlin,Berlin,2022-01-01,"""Climate""",200,
Berlin,Berlin,2022-01-01,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,4
Berlin,Berlin,2022-01-01,"""Kein US-Krieg gegen Venezuela USA Unblock Venezuela USA Unblock Kuba Gegen Intervention und Blockade Solidarität mit Sandinistischen Revolution …"" (vom 20.11.2021 bis 12.02.2022 - jeweils Sa.)",50,
Berlin,Berlin,2022-01-01,´ Coronakritische Versammlung Treffpunkt Blankenburger Chaussee´,43,43
Berlin,Berlin,2022-01-02,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",30,
Berlin,Berlin,2022-01-02,"""Sunday for Peace (...).""",50,8
Berlin,Berlin,2022-01-02,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,4
Berlin,Berlin,2022-01-02,Unterstützung der algerischen Revolution,10,8
Berlin,Berlin,2022-01-02,Mahnwache für getötete Fußgängerin,20,60
Berlin,Berlin,2022-01-02,"´coronakritische Versammlungen, Zeichen gegen die Spaltung der Gesellschaft´",50,
Berlin,Berlin,2022-01-03,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",30,
Berlin,Berlin,2022-01-03,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,2
Berlin,Berlin,2022-01-03,"""Recht auf Wohnen - Willkommen der neuen Nachbar*innen""",100,100
Berlin,Berlin,2022-01-03,"""Mahnwache für Frieden und Menschenrechte"" (vom 03.01. bis 28.03.2022 - jeweils Mo.)",10,4
Berlin,Berlin,2022-01-03,"""Wir sind Anwohner*innen des Gethsemanekiezes im Prenzlauer Berg und möchten in diesen Zeiten ein Zeichen setzen. Angesichts des sich verschärfenden Protests von Kritiker*innen der Pandemiemaßnahmen und Corona- Protestlern vor der Gethsemanekirche am 13.12.2021 möchten wir uns gemeinsam mit der Kirchengemeinde ausdrücklich gegen die Vereinnahmung dieses historisches Ortes und der Symbole der friedlichen Revolution in der DDR wehren.""",100,
Berlin,Berlin,2022-01-03,"""Einigkeit und Recht und Freiheit""",100,105
Berlin,Berlin,2022-01-03,"Frieden, Freiheit, keine Diktatur",35,
Berlin,Berlin,2022-01-03,"""Frieden, Freiheit, Demokratie!""",15,
Berlin,Berlin,2022-01-03,"""Das ist kein Montags-Spaziergang - das ist Kriechen! Die einzige angemeldete Nazi-Sponti des Landes darf nicht unkommentiert bleiben :D""",20,
Berlin,Berlin,2022-01-03,Rathaus Pankow (nicht angezeigte coronakritische Versammlung),300,
Berlin,Berlin,2022-01-03,"""Protest gegen Hartz 4 und das Bürgergeld - Montag ist der Tag des Widerstands"" (vom 03.01. bis 19.12.2022 - jeweils Mo.)",30,
Berlin,Berlin,2022-01-03,"""Mahnwache am Kanzleramt - Für die sofortige Stilllegung aller Atomanlagen""",20,2
Berlin,Berlin,2022-01-03,Rathaus Tempelhof (nicht angezeigte coronakritische Versammlungen),50,
Berlin,Berlin,2022-01-03,Rathaus Lankwitz (nicht angezeigte coronakritische Versammlungen),60,
Berlin,Berlin,2022-01-03,Rathaus Zehlendorf (nicht angezeigte coronakritische Versammlungen),80,
Berlin,Berlin,2022-01-03,"""Demokratische Menschenrechte"" (vom 03.01. bis 04.04.2022 - jeweils Mo.)",400,450
Berlin,Berlin,2022-01-03,Rathaus Schöneberg (nicht angezeigte coronakritische Versammlungen),300,
Berlin,Berlin,2022-01-03,"""Wehe denen, die nicht geforscht haben und doch reden.""",200,50
Berlin,Berlin,2022-01-03,"""Montagsspaziergang"" Kladow (nicht angezeigte, coronakritische Versammlung)",14,
Berlin,Berlin,2022-01-03,"""Lauf Demo""",800,
Berlin,Berlin,2022-01-03,"""Friedlicher Protest gegen 2G und die Einführung einer Impfpflicht"" (vom 13.12.2021 bis 17.01.2022 - jeweils Mo.)",120,65
Berlin,Berlin,2022-01-03,"""Das ist kein Montagsspaziergang - das ist Kriechen! Die einzige angemeldete Nazi-Sponti des Landes darf nicht unkommentiert bleiben :D""",20,
Berlin,Berlin,2022-01-03,"""Mahnwache: Konsequentes Nachtflugverbot von 22 Uhr bis 6 Uhr am Flughafen BER. Kurzstreckenflüge gehören auf die Schiene. Alle Messdaten der Ultrafeinstaubmessung am Flughafen BER müssen öffentlich werden. Die Subventionierung des Flughafens und der Billigairlines muss beendet werden, denn wer fliegt oder Flüge anbietet, muss die tätsächlichen Kosten zahlen."" (vom 01.11.2021 bis 31.01.2022 - jeweils Mo.)",40,15
Berlin,Berlin,2022-01-03,"""Das ist kein Montags-Spaziergang - das ist Kriechen! Die einzige angemeldete Nazi-Sponti des Landes darf nicht unkommentiert bleiben :D""",20,
Berlin,Berlin,2022-01-04,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",30,
Berlin,Berlin,2022-01-04,"""Diplomatischer Boykott der Winterspiele 2022!""",500,200
Berlin,Berlin,2022-01-04,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,2
Berlin,Berlin,2022-01-04,"""Kundgebung für die Liebknecht-Luxemburg-Aktivitäten am 9. Januar 2022 und zum Tarifabschluss der Charité""",10,4
Berlin,Berlin,2022-01-04,"""Bürgerinnen und Bürger äußern ihre Meinung zu Bürgerrechten und zur aktuellen Gesundheitspolitik, Beispielsweise zu „2G-“, „3G-“Beschränkungen und zur Covid19-Impfung.""",35,34
Berlin,Berlin,2022-01-04,"""Gegenprotest zu ""Menschen mit Schildern"" Wissenschaft statt Schwurbel!""",15,15
